report_date,qty_of_trips
2013-06-01,8722
2013-06-02,15971
2013-06-03,7598
2013-06-04,15782
2013-06-05,15690
2013-06-06,12420
2013-06-07,1226
2013-06-08,18007
2013-06-09,21034
2013-06-10,3897
2013-06-11,12596
2013-06-12,16795
2013-06-13,8016
2013-06-14,14942
2013-06-15,25178
2013-06-16,21966
2013-06-17,19659
2013-06-18,13724
2013-06-19,24142
2013-06-20,26603
2013-06-21,27997
2013-06-22,29281
2013-06-23,28065
2013-06-24,24251
2013-06-25,27827
2013-06-26,29499
2013-06-27,24334
2013-06-28,27818
2013-06-29,29753
2013-06-30,24909
2013-07-01,16651
2013-07-02,22745
2013-07-03,21864
2013-07-04,22326
2013-07-05,21842
2013-07-06,20467
2013-07-07,20477
2013-07-08,21615
2013-07-09,26641
2013-07-10,25732
2013-07-11,24417
2013-07-12,19006
2013-07-13,26119
2013-07-14,29287
2013-07-15,28069
2013-07-16,29842
2013-07-17,30550
2013-07-18,28869
2013-07-19,26591
2013-07-20,25278
2013-07-21,30297
2013-07-22,25979
2013-07-23,32376
2013-07-24,35271
2013-07-25,31084
2013-07-26,34534
2013-07-27,32470
2013-07-28,23508
2013-07-29,34915
2013-07-30,37334
2013-07-31,37261
2013-08-01,20138
2013-08-02,35792
2013-08-03,29540
2013-08-04,35253
2013-08-05,36776
2013-08-06,37702
2013-08-07,34396
2013-08-08,28366
2013-08-09,29017
2013-08-10,37201
2013-08-11,33060
2013-08-12,31457
2013-08-13,22437
2013-08-14,38150
2013-08-15,37386
2013-08-16,35991
2013-08-17,37285
2013-08-18,27612
2013-08-19,33127
2013-08-20,35843
2013-08-21,36315
2013-08-22,26629
2013-08-23,33503
2013-08-24,32941
2013-08-25,31755
2013-08-26,29979
2013-08-27,34208
2013-08-28,28185
2013-08-29,34215
2013-08-30,32318
2013-08-31,25381
2013-09-01,25235
2013-09-02,21416
2013-09-03,32411
2013-09-04,36798
2013-09-05,35825
2013-09-06,35868
2013-09-07,34419
2013-09-08,33196
2013-09-09,35394
2013-09-10,36954
2013-09-11,35812
2013-09-12,31252
2013-09-13,36501
2013-09-14,31607
2013-09-15,31914
2013-09-16,31287
2013-09-17,38283
2013-09-18,37957
2013-09-19,39200
2013-09-20,39382
2013-09-21,31826
2013-09-22,29758
2013-09-23,35152
2013-09-24,38417
2013-09-25,38223
2013-09-26,38189
2013-09-27,37412
2013-09-28,34931
2013-09-29,32592
2013-09-30,37148
